group,family,simplified_species,commum_name,threat_category,acronym_threat_category,presence_in_protected_areas,national_action_plan_for_conservation_,fishing_planning,level_of_protection_in_the_national_strategy,exclusive_species_of_brazil,occurrence_states_y,main_threats_y,biome,category,lats_longs_animals
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,MT,Pollution,Cerrado,Fish,[-50.30383333 -14.92997332]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Fishing,Amazon,Fish,[-48.31169468  -6.10397493]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Fishing,Cerrado,Fish,[-55.99702155   2.38885065]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Tourism,Amazon,Fish,[-57.04044973   2.06257689]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Tourism,Cerrado,Fish,[-47.81897943  -0.66401404]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Pollution,Amazon,Fish,[-54.79078015   2.18552556]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,PA,Pollution,Cerrado,Fish,[-57.70412577   1.80262115]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Fishing,Amazon,Fish,[-47.64145019  -4.43933382]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Fishing,Cerrado,Fish,[-45.45622483 -10.38443091]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Tourism,Amazon,Fish,[-46.08916426 -11.36547532]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Tourism,Cerrado,Fish,[-49.76495856 -11.49250976]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Pollution,Amazon,Fish,[-45.38992169 -11.50754236]
Freshwater Fish,Pimelodidae,Aguarunichthys tocantinsensis,Catfish,Endangered (EN),EN,True,True,False,2.0,True,TO,Pollution,Cerrado,Fish,[-46.3905311  -7.2817878]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AL,Agriculture,Marine,Sharks,[-35.75470215  -9.68476028]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AL,Transport,Marine,Sharks,[-36.41695591 -10.35988833]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AP,Agriculture,Marine,Sharks,[-52.36421833   2.91563527]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AP,Transport,Marine,Sharks,[-51.67329949  -0.74511331]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,BA,Agriculture,Marine,Sharks,[-42.8126386  -14.70887124]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,BA,Transport,Marine,Sharks,[-44.88454675 -10.89735174]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,CE,Agriculture,Marine,Sharks,[-41.21976377  -4.53846789]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,CE,Transport,Marine,Sharks,[-41.30585378  -2.87572361]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,ES,Agriculture,Marine,Sharks,[-41.13541869 -19.748025  ]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,ES,Transport,Marine,Sharks,[-40.89883225 -19.28479886]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,MA,Agriculture,Marine,Sharks,[-44.38412278  -2.19517516]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,MA,Transport,Marine,Sharks,[-45.80766883  -1.19107349]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PA,Agriculture,Marine,Sharks,[-56.65788513  -1.97015049]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PA,Transport,Marine,Sharks,[-54.43182498   1.81528585]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PB,Agriculture,Marine,Sharks,[-36.36120149  -6.98707358]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PB,Transport,Marine,Sharks,[-34.46027144  -6.06920549]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PE,Agriculture,Marine,Sharks,[-40.66355638  -9.25581513]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PE,Transport,Marine,Sharks,[-38.33222302  -7.6282931 ]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PI,Agriculture,Marine,Sharks,[-42.87240426  -9.41411965]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PI,Transport,Marine,Sharks,[-44.6066752   -7.32114566]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PR,Agriculture,Marine,Sharks,[-49.50166132 -23.59864131]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PR,Transport,Marine,Sharks,[-49.19239164 -23.58553681]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RJ,Agriculture,Marine,Sharks,[-44.22430318 -22.67593899]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RJ,Transport,Marine,Sharks,[-43.22268645 -22.76401159]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RN,Agriculture,Marine,Sharks,[-35.57648135  -5.07429126]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RN,Transport,Marine,Sharks,[-36.60954347  -5.06775516]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RS,Agriculture,Marine,Sharks,[-49.94368049 -28.83658634]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RS,Transport,Marine,Sharks,[-55.30520145 -27.98302531]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SC,Agriculture,Marine,Sharks,[-50.09803835 -29.16573192]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SC,Transport,Marine,Sharks,[-49.62659471 -26.14999284]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SE,Agriculture,Marine,Sharks,[-37.74610001 -10.29040565]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SE,Transport,Marine,Sharks,[-37.91663909  -9.84264784]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SP,Agriculture,Marine,Sharks,[-48.88797928 -20.35860332]
Marine Fish,Alopiidae,Alopias superciliosus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SP,Transport,Marine,Sharks,[-45.4377796  -23.80148939]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AL,Agriculture,Marine,Sharks,[-37.55998241  -9.63709912]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,AP,Agriculture,Marine,Sharks,[-53.05625008   0.55909148]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,BA,Agriculture,Marine,Sharks,[-45.83060414 -15.03217106]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,CE,Agriculture,Marine,Sharks,[-38.62923682  -7.03389503]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,ES,Agriculture,Marine,Sharks,[-40.07821501 -19.9390723 ]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,MA,Agriculture,Marine,Sharks,[-47.20400717  -7.64287471]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PA,Agriculture,Marine,Sharks,[-55.440559     2.48060553]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PB,Agriculture,Marine,Sharks,[-37.03053788  -7.27164341]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PE,Agriculture,Marine,Sharks,[-40.8137131   -8.97267138]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PI,Agriculture,Marine,Sharks,[-45.77419786  -9.35028479]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,PR,Agriculture,Marine,Sharks,[-48.62197863 -23.99922538]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RJ,Agriculture,Marine,Sharks,[-43.07114816 -22.67827432]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RN,Agriculture,Marine,Sharks,[-35.82730262  -5.05792634]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,RS,Agriculture,Marine,Sharks,[-52.60209501 -32.58478419]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SC,Agriculture,Marine,Sharks,[-53.66198977 -26.4069612 ]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SE,Agriculture,Marine,Sharks,[-37.82607317  -9.92109091]
Marine Fish,Alopiidae,Alopias vulpinus,Fox Shark,Vulnerable (VU),VU,True,True,True,4.0,False,SP,Agriculture,Marine,Sharks,[-47.89461525 -25.14461918]
Freshwater Fish,Rivulidae,Anablepsoides cearensis,Annual Fish,Critically Endangered (CR),CR,False,False,False,1.0,True,CE,Exotic Species,Caatinga,Fish,[-40.380579   -6.9943172]
Freshwater Fish,Rivulidae,Anablepsoides cearensis,Annual Fish,Critically Endangered (CR),CR,False,False,False,1.0,True,CE,Energy production,Caatinga,Fish,[-38.25768213  -6.04706617]
Freshwater Fish,Loricariidae,Ancistrus cryptophthalmus,Cave Pygmy Suckerfish,Endangered (EN),EN,True,False,False,2.0,True,GO,Fishing,Cerrado,Freshwater Fish,[-48.29114624 -12.29386838]
Freshwater Fish,Loricariidae,Ancistrus formoso,Blind Suckerfish,Vulnerable (VU),VU,False,False,False,1.0,True,MS,Fishing,Cerrado,Freshwater Fish,[-51.37934662 -18.10428018]
Freshwater Fish,Loricariidae,Ancistrus minutus,Unknown,Endangered (EN),EN,False,True,True,1.0,True,GO,Fishing,Cerrado,Freshwater Fish,[-47.41177333 -13.18184518]
Freshwater Fish,Parodontidae,Apareiodon davisi,Kingfish,Endangered (EN),EN,False,True,False,1.0,True,CE,Fishing,Caatinga,Freshwater Fish,[-40.45928231  -7.1367704 ]
Freshwater Fish,Parodontidae,Apareiodon davisi,Kingfish,Endangered (EN),EN,False,True,False,1.0,True,PB,Fishing,Caatinga,Freshwater Fish,[-37.94762594  -6.52630947]
Freshwater Fish,Parodontidae,Apareiodon vladii,Penknife Fish,Vulnerable (VU),VU,False,True,False,1.0,True,PR,Fishing,Atlantic Forest,Freshwater Fish,[-50.80926786 -26.38196831]
Freshwater Fish,Parodontidae,Apareiodon vladii,Penknife Fish,Vulnerable (VU),VU,False,True,False,1.0,True,SP,Fishing,Atlantic Forest,Freshwater Fish,[-46.13607733 -22.8299511 ]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,MS,Fishing,Cerrado,Fish,[-53.79376056 -17.43606236]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,MS,Fishing,Atlantic Forest,Fish,[-57.99371377 -19.38877108]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,PR,Fishing,Cerrado,Fish,[-48.1245794 -25.9794344]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,PR,Fishing,Atlantic Forest,Fish,[-47.4575952  -24.58122422]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,SP,Fishing,Cerrado,Fish,[-45.54354481 -23.7686697 ]
Freshwater Fish,Characidae,Aphyocheirodon hemigrammus,Minnow,Vulnerable (VU),VU,True,True,False,2.0,True,SP,Fishing,Atlantic Forest,Fish,[-44.8204956 -23.2831191]
Freshwater Fish,Apteronotidae,Apteronotus acidops,Sarapó,Endangered (EN),EN,False,True,False,1.0,True,MS,Fishing,Atlantic Forest,Fish,[-56.75857003 -21.33856534]
Freshwater Fish,Apteronotidae,Apteronotus acidops,Sarapó,Endangered (EN),EN,False,True,False,1.0,True,SP,Fishing,Atlantic Forest,Fish,[-51.24008932 -20.24012302]
Freshwater Fish,Apteronotidae,Apteronotus lindalvae,Unknown,Critically Endangered (CR),CR,True,True,False,2.0,True,AM,Fishing,Amazon,Fish,[-5.84272530e+01  1.26159672e-02]
Aquatic Invertebrates,Astropectinidae,Astropecten articulatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Fishing,Marine,Starfish,[-44.69017199 -23.34297176]
Aquatic Invertebrates,Astropectinidae,Astropecten articulatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Pollution,Marine,Starfish,[-44.12488888 -23.09812698]
Aquatic Invertebrates,Astropectinidae,Astropecten articulatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Fishing,Marine,Starfish,[-46.00785055 -23.81015853]
Aquatic Invertebrates,Astropectinidae,Astropecten articulatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Pollution,Marine,Starfish,[-47.11063323 -24.49223432]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Fishing,Marine,Starfish,[-38.20493322 -12.82145274]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Pollution,Marine,Starfish,[-46.14589018 -13.00320795]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Fishing,Marine,Starfish,[-43.78072274 -22.89858014]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Pollution,Marine,Starfish,[-43.2236369  -22.77134326]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Fishing,Marine,Starfish,[-45.05049474 -23.46348761]
Aquatic Invertebrates,Astropectinidae,Astropecten brasiliensis,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Pollution,Marine,Starfish,[-49.57369266 -23.2438722 ]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,AL,Fishing,Marine,Starfish,[-36.28042208 -10.30657815]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,AL,Pollution,Marine,Starfish,[-35.38843915  -8.81522293]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,AP,Fishing,Marine,Starfish,[-53.24190199   2.35695608]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,AP,Pollution,Marine,Starfish,[-52.88687439   2.27987764]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Fishing,Marine,Starfish,[-41.321171    -8.63756538]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,BA,Pollution,Marine,Starfish,[-40.71060472  -9.07658557]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,CE,Fishing,Marine,Starfish,[-37.7193459   -4.44126678]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,CE,Pollution,Marine,Starfish,[-40.42683226  -7.01304016]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,ES,Fishing,Marine,Starfish,[-39.66231093 -19.19767903]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,ES,Pollution,Marine,Starfish,[-41.14688914 -19.80887283]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,MA,Fishing,Marine,Starfish,[-46.46202983  -9.86995431]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,MA,Pollution,Marine,Starfish,[-43.05163793  -6.01397233]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PA,Fishing,Marine,Starfish,[-49.87658148   0.33587279]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PA,Pollution,Marine,Starfish,[-58.33697504  -0.9092613 ]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PB,Fishing,Marine,Starfish,[-36.39935249  -5.8872789 ]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PB,Pollution,Marine,Starfish,[-34.55831973  -6.31710594]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PE,Fishing,Marine,Starfish,[-40.68433132  -9.32484512]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PE,Pollution,Marine,Starfish,[-36.93545088  -9.25550009]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PI,Fishing,Marine,Starfish,[-43.84258046  -6.74761723]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PI,Pollution,Marine,Starfish,[-43.03756188  -6.00270866]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PR,Fishing,Marine,Starfish,[-47.80680896 -25.42795915]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,PR,Pollution,Marine,Starfish,[-53.25523377 -26.07689751]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Fishing,Marine,Starfish,[-43.02666109 -22.86615467]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RJ,Pollution,Marine,Starfish,[-43.1628814  -22.74549121]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RN,Fishing,Marine,Starfish,[-38.08437449  -5.89972507]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RN,Pollution,Marine,Starfish,[-35.1781398   -6.49750543]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RS,Fishing,Marine,Starfish,[-49.89122084 -29.16339991]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,RS,Pollution,Marine,Starfish,[-53.60112657 -27.08975722]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SC,Fishing,Marine,Starfish,[-53.63342011 -26.88122824]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SC,Pollution,Marine,Starfish,[-51.2569623  -26.60117533]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SE,Fishing,Marine,Starfish,[-37.59705253  -9.58734288]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SE,Pollution,Marine,Starfish,[-36.96241818 -10.79353119]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Fishing,Marine,Starfish,[-47.847302   -19.98828884]
Aquatic Invertebrates,Astropectinidae,Astropecten marginatus,Starfish,Vulnerable (VU),VU,True,False,False,2.0,False,SP,Pollution,Marine,Starfish,[-52.02722364 -21.72076831]
Freshwater Fish,Characidae,Astyanax eremus,"Minnow, Piaba",Critically Endangered (CR),CR,True,True,False,2.0,True,PR,Fishing,Atlantic Forest,Fish,[-48.55789443 -23.940922  ]
Freshwater Fish,Characidae,Astyanax eremus,"Minnow, Piaba",Critically Endangered (CR),CR,True,True,False,2.0,True,PR,Pollution,Atlantic Forest,Fish,[-50.23172822 -22.70485821]
Freshwater Fish,Characidae,Astyanax gymnogenys,Minnow ,Endangered (EN),EN,False,True,False,1.0,True,PR,Aquaculture Agriculture,Atlantic Forest,Fish,[-48.60916405 -25.67873553]
Freshwater Fish,Characidae,Astyanax gymnogenys,Minnow ,Endangered (EN),EN,False,True,False,1.0,True,PR,Human Settlement,Atlantic Forest,Fish,[-52.49024581 -25.38819812]
Freshwater Fish,Characidae,Astyanax gymnogenys,Minnow ,Endangered (EN),EN,False,True,False,1.0,True,SC,Aquaculture Agriculture,Atlantic Forest,Fish,[-48.58067073 -26.44304769]
Freshwater Fish,Characidae,Astyanax gymnogenys,Minnow ,Endangered (EN),EN,False,True,False,1.0,True,SC,Human Settlement,Atlantic Forest,Fish,[-53.7472701  -26.97989762]
Freshwater Fish,Characidae,Astyanax jordanensis,Minnow ,Vulnerable (VU),VU,False,True,False,1.0,True,PR,Aquaculture Agriculture,Atlantic Forest,Fish,[-48.73034338 -23.95066278]
Freshwater Fish,Characidae,Astyanax jordanensis,Minnow ,Vulnerable (VU),VU,False,True,False,1.0,True,PR,Human Settlement,Atlantic Forest,Fish,[-51.32423109 -22.25852015]
Freshwater Fish,Rivulidae,Atlantirivulus lazzarotoi,Annual Fish,Critically Endangered (CR),CR,False,False,False,1.0,True,RJ,Aquaculture Agriculture,Atlantic Forest,Fish,[-44.66041983 -23.05553414]
Freshwater Fish,Rivulidae,Atlantirivulus lazzarotoi,Annual Fish,Critically Endangered (CR),CR,False,False,False,1.0,True,RJ,Human Settlement,Atlantic Forest,Fish,[-44.48847723 -23.25290598]
Freshwater Fish,Rivulidae,Atlantirivulus maricensis,Unknown,Critically Endangered (CR),CR,False,False,False,1.0,True,RJ,Aquaculture Agriculture,Atlantic Forest,Fish,[-44.0612064  -23.11905914]
Freshwater Fish,Rivulidae,Atlantirivulus maricensis,Unknown,Critically Endangered (CR),CR,False,False,False,1.0,True,RJ,Human Settlement,Atlantic Forest,Fish,[-43.34003756 -21.97558286]
Freshwater Fish,Rivulidae,Atlantirivulus nudiventris,Annual Fish,Critically Endangered (CR),CR,True,False,False,1.0,True,ES,Aquaculture Agriculture,Atlantic Forest,Fish,[-40.85738127 -18.74524015]
Freshwater Fish,Rivulidae,Atlantirivulus nudiventris,Annual Fish,Critically Endangered (CR),CR,True,False,False,1.0,True,ES,Human Settlement,Atlantic Forest,Fish,[-40.94302101 -18.16236667]
Freshwater Fish,Rivulidae,Atlantirivulus simplicis,Annual Fish,Endangered (EN),EN,False,False,False,1.0,True,RJ,Aquaculture Agriculture,Atlantic Forest,Fish,[-44.37359621 -22.7616851 ]
Freshwater Fish,Rivulidae,Atlantirivulus simplicis,Annual Fish,Endangered (EN),EN,False,False,False,1.0,True,RJ,Human Settlement,Atlantic Forest,Fish,[-44.23195466 -22.54807425]
Freshwater Fish,Rivulidae,Atlantirivulus simplicis,Annual Fish,Endangered (EN),EN,False,False,False,1.0,True,SP,Aquaculture Agriculture,Atlantic Forest,Fish,[-46.63155428 -22.2145169 ]
Freshwater Fish,Rivulidae,Atlantirivulus simplicis,Annual Fish,Endangered (EN),EN,False,False,False,1.0,True,SP,Human Settlement,Atlantic Forest,Fish,[-45.38389579 -23.80728595]
Marine Fish,Arhynchobatidae,Atlantoraja castelnaui,Leopard Stingray,Endangered (EN),EN,True,True,True,3.0,False,RS,Pollution,Marine,Rays,[-54.50756558 -31.4172494 ]
Marine Fish,Arhynchobatidae,Atlantoraja castelnaui,Leopard Stingray,Endangered (EN),EN,True,True,True,3.0,False,PR,Pollution,Marine,Rays,[-51.87458933 -25.70553026]
Marine Fish,Arhynchobatidae,Atlantoraja castelnaui,Leopard Stingray,Endangered (EN),EN,True,True,True,3.0,False,SC,Pollution,Marine,Rays,[-50.92842361 -26.25226533]
Marine Fish,Arhynchobatidae,Atlantoraja castelnaui,Leopard Stingray,Endangered (EN),EN,True,True,True,3.0,False,SP,Pollution,Marine,Rays,[-48.26048322 -25.00506931]
